Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Apr 1, 2025 12:00 AM;Apr 1, 2025 1:00 AM;46,679.50;47,257.25;577.75;39,178.00
Apr 1, 2025 1:00 AM;Apr 1, 2025 2:00 AM;44,634.00;45,269.75;635.75;37,517.00
Apr 1, 2025 2:00 AM;Apr 1, 2025 3:00 AM;43,877.25;45,003.00;1,125.75;37,002.75
Apr 1, 2025 3:00 AM;Apr 1, 2025 4:00 AM;44,109.75;45,021.25;911.50;37,156.00
Apr 1, 2025 4:00 AM;Apr 1, 2025 5:00 AM;45,956.50;46,674.00;717.50;38,393.00
Apr 1, 2025 5:00 AM;Apr 1, 2025 6:00 AM;50,106.00;50,570.25;464.25;41,657.50
Apr 1, 2025 6:00 AM;Apr 1, 2025 7:00 AM;57,448.25;57,483.50;35.25;48,127.25
Apr 1, 2025 7:00 AM;Apr 1, 2025 8:00 AM;62,027.50;62,027.50;0.00;50,543.00
Apr 1, 2025 8:00 AM;Apr 1, 2025 9:00 AM;64,316.00;64,404.75;88.75;46,973.50
Apr 1, 2025 9:00 AM;Apr 1, 2025 10:00 AM;64,568.00;64,697.00;129.00;39,435.00
Apr 1, 2025 10:00 AM;Apr 1, 2025 11:00 AM;63,056.50;64,393.25;1,336.75;27,791.75
Apr 1, 2025 11:00 AM;Apr 1, 2025 12:00 PM;63,483.00;67,226.25;3,743.25;20,562.25
Apr 1, 2025 12:00 PM;Apr 1, 2025 1:00 PM;62,051.75;66,051.75;4,000.00;15,775.50
Apr 1, 2025 1:00 PM;Apr 1, 2025 2:00 PM;61,118.00;64,922.00;3,804.00;13,755.25
Apr 1, 2025 2:00 PM;Apr 1, 2025 3:00 PM;59,345.25;64,091.25;4,746.00;12,541.25
Apr 1, 2025 3:00 PM;Apr 1, 2025 4:00 PM;57,612.00;62,398.25;4,786.25;13,374.25
Apr 1, 2025 4:00 PM;Apr 1, 2025 5:00 PM;56,541.75;61,214.25;4,672.50;16,617.00
Apr 1, 2025 5:00 PM;Apr 1, 2025 6:00 PM;57,235.75;59,235.50;1,999.75;23,956.00
Apr 1, 2025 6:00 PM;Apr 1, 2025 7:00 PM;59,619.00;60,120.00;501.00;36,061.50
Apr 1, 2025 7:00 PM;Apr 1, 2025 8:00 PM;60,108.00;60,135.50;27.50;42,111.75
Apr 1, 2025 8:00 PM;Apr 1, 2025 9:00 PM;59,790.00;59,809.75;19.75;39,957.50
Apr 1, 2025 9:00 PM;Apr 1, 2025 10:00 PM;57,216.00;57,410.25;194.25;33,795.25
Apr 1, 2025 10:00 PM;Apr 1, 2025 11:00 PM;53,174.00;53,493.75;319.75;28,431.50
Apr 1, 2025 11:00 PM;Apr 2, 2025 12:00 AM;48,826.25;49,773.00;946.75;23,585.50
Apr 2, 2025 12:00 AM;Apr 2, 2025 1:00 AM;45,719.50;47,144.75;1,425.25;21,226.50
Apr 2, 2025 1:00 AM;Apr 2, 2025 2:00 AM;43,933.50;45,787.00;1,853.50;20,921.50
Apr 2, 2025 2:00 AM;Apr 2, 2025 3:00 AM;43,296.00;45,768.75;2,472.75;21,340.00
Apr 2, 2025 3:00 AM;Apr 2, 2025 4:00 AM;43,676.00;45,198.00;1,522.00;22,164.75
Apr 2, 2025 4:00 AM;Apr 2, 2025 5:00 AM;44,898.00;45,547.75;649.75;23,807.75
Apr 2, 2025 5:00 AM;Apr 2, 2025 6:00 AM;48,993.50;49,143.50;150.00;28,181.75
Apr 2, 2025 6:00 AM;Apr 2, 2025 7:00 AM;56,321.00;56,344.00;23.00;35,089.25
Apr 2, 2025 7:00 AM;Apr 2, 2025 8:00 AM;60,837.75;60,837.75;0.00;38,180.50
