Start date;End date;Germany/Luxembourg [€/MWh] Original resolutions;∅ DE/LU neighbours [€/MWh] Original resolutions;Belgium [€/MWh] Original resolutions;Denmark 1 [€/MWh] Original resolutions;Denmark 2 [€/MWh] Original resolutions;France [€/MWh] Original resolutions;Netherlands [€/MWh] Original resolutions;Norway 2 [€/MWh] Original resolutions;Austria [€/MWh] Original resolutions;Poland [€/MWh] Original resolutions;Sweden 4 [€/MWh] Original resolutions;Switzerland [€/MWh] Original resolutions;Czech Republic [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Original resolutions;Hungary [€/MWh] Original resolutions
Apr 1, 2025 12:00 AM;Apr 1, 2025 1:00 AM;101.56;92.77;99.94;101.56;101.56;90.00;100.36;54.46;102.47;102.00;56.45;109.59;102.04;-;105.30;102.69;102.34
Apr 1, 2025 1:00 AM;Apr 1, 2025 2:00 AM;95.02;86.91;92.31;95.02;95.02;75.78;93.07;55.45;96.58;95.76;57.72;103.52;95.83;-;100.44;96.91;96.33
Apr 1, 2025 2:00 AM;Apr 1, 2025 3:00 AM;92.91;85.47;90.33;92.91;92.91;70.03;90.84;54.78;94.65;93.72;65.97;100.23;93.80;-;95.03;95.03;94.37
Apr 1, 2025 3:00 AM;Apr 1, 2025 4:00 AM;93.50;85.33;89.76;93.50;93.50;60.48;90.50;56.20;96.03;97.34;65.82;100.74;94.79;-;96.92;96.58;95.63
Apr 1, 2025 4:00 AM;Apr 1, 2025 5:00 AM;91.43;85.04;88.04;91.43;91.43;61.59;88.71;57.95;93.54;98.18;68.69;103.28;92.60;-;97.00;94.22;93.35
Apr 1, 2025 5:00 AM;Apr 1, 2025 6:00 AM;100.71;96.06;96.41;100.71;100.72;68.20;97.55;83.58;103.31;101.88;90.24;111.98;102.04;-;104.49;103.86;102.91
Apr 1, 2025 6:00 AM;Apr 1, 2025 7:00 AM;129.46;123.95;117.98;129.46;129.47;84.20;121.83;124.67;131.34;130.72;126.41;136.10;131.25;-;131.76;133.28;131.82
Apr 1, 2025 7:00 AM;Apr 1, 2025 8:00 AM;179.96;172.95;167.31;179.96;179.99;155.50;175.74;155.62;176.31;178.89;181.55;173.02;178.53;-;161.92;175.49;177.11
Apr 1, 2025 8:00 AM;Apr 1, 2025 9:00 AM;159.37;157.52;159.37;159.37;159.38;159.37;159.37;138.65;159.37;159.37;159.94;159.16;159.37;-;159.37;159.37;159.37
Apr 1, 2025 9:00 AM;Apr 1, 2025 10:00 AM;108.47;109.79;105.79;108.47;108.47;87.97;106.42;90.28;110.04;142.80;107.53;130.65;109.28;-;130.15;110.45;109.78
Apr 1, 2025 10:00 AM;Apr 1, 2025 11:00 AM;86.17;80.32;73.36;86.17;86.17;38.10;77.50;66.91;87.75;98.02;76.55;105.35;87.69;-;116.07;90.61;88.73
Apr 1, 2025 11:00 AM;Apr 1, 2025 12:00 PM;70.26;63.26;48.99;70.26;68.74;0.00;52.72;54.73;77.17;99.29;62.42;87.81;73.78;-;111.02;78.47;75.77
Apr 1, 2025 12:00 PM;Apr 1, 2025 1:00 PM;53.15;48.38;14.48;53.15;42.94;0.00;10.00;50.17;70.00;99.52;41.65;89.15;61.16;-;94.18;69.14;64.52
Apr 1, 2025 1:00 PM;Apr 1, 2025 2:00 PM;11.57;32.15;-9.02;11.57;23.17;-0.01;-20.00;44.07;70.00;95.58;22.04;90.83;25.46;-;94.13;48.23;43.11
Apr 1, 2025 2:00 PM;Apr 1, 2025 3:00 PM;10.89;28.03;-29.90;10.89;10.99;-0.03;-30.00;39.77;77.16;98.06;10.58;92.19;28.64;-;102.71;50.70;47.02
