Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jun 1, 2025 12:00 AM;Jun 1, 2025 1:00 AM;3,944.25;1,850.00;798.75;8,477.50;0.00;72.00;-;5,444.50;407.00;3,961.50;2,717.00;1,703.00
Jun 1, 2025 1:00 AM;Jun 1, 2025 2:00 AM;3,942.25;1,853.50;1,175.00;9,917.75;0.00;72.00;-;5,085.50;394.50;3,239.50;1,251.75;1,673.50
Jun 1, 2025 2:00 AM;Jun 1, 2025 3:00 AM;3,960.00;1,876.75;1,437.25;11,070.75;0.00;72.00;-;4,108.75;388.00;3,041.75;469.50;1,698.50
Jun 1, 2025 3:00 AM;Jun 1, 2025 4:00 AM;3,970.00;1,916.50;1,396.75;12,583.25;0.00;72.00;-;3,150.00;383.25;2,707.25;201.00;1,712.00
Jun 1, 2025 4:00 AM;Jun 1, 2025 5:00 AM;3,958.25;1,876.25;1,725.75;11,814.00;4.25;72.00;-;2,906.00;377.75;2,570.75;91.75;1,707.75
Jun 1, 2025 5:00 AM;Jun 1, 2025 6:00 AM;3,939.25;1,866.50;2,136.75;11,641.50;402.75;72.00;-;2,890.50;381.25;2,203.00;235.50;1,718.25
Jun 1, 2025 6:00 AM;Jun 1, 2025 7:00 AM;3,956.50;1,850.75;2,282.50;11,424.50;2,643.25;72.00;-;2,864.50;377.50;2,105.00;158.50;1,691.25
Jun 1, 2025 7:00 AM;Jun 1, 2025 8:00 AM;3,943.00;1,845.00;2,580.50;10,321.00;6,966.00;72.00;-;2,851.75;367.50;2,066.25;402.25;1,692.75
Jun 1, 2025 8:00 AM;Jun 1, 2025 9:00 AM;3,923.00;1,835.75;2,284.75;7,828.00;12,766.75;72.00;-;2,855.25;359.25;2,008.50;232.50;1,666.25
Jun 1, 2025 9:00 AM;Jun 1, 2025 10:00 AM;3,886.75;1,815.00;1,101.00;6,475.25;18,873.75;72.00;-;2,875.25;361.50;1,973.00;590.00;1,657.50
Jun 1, 2025 10:00 AM;Jun 1, 2025 11:00 AM;3,867.50;1,730.25;1,019.00;6,125.75;24,489.75;72.00;-;2,869.00;362.50;1,965.50;183.75;1,628.00
Jun 1, 2025 11:00 AM;Jun 1, 2025 12:00 PM;3,885.00;1,698.25;808.75;6,227.75;28,716.00;72.00;-;2,877.25;362.50;1,970.25;174.00;1,614.00
Jun 1, 2025 12:00 PM;Jun 1, 2025 1:00 PM;3,892.00;1,724.00;1,137.00;6,948.00;30,927.25;72.00;-;2,884.50;364.50;1,981.25;138.00;1,616.75
Jun 1, 2025 1:00 PM;Jun 1, 2025 2:00 PM;3,891.00;1,750.00;1,190.00;8,725.00;31,814.50;72.00;-;2,841.50;368.25;1,983.75;57.25;1,615.00
Jun 1, 2025 2:00 PM;Jun 1, 2025 3:00 PM;3,867.25;1,763.00;1,116.25;10,249.50;30,238.75;87.75;-;2,834.00;354.75;2,000.00;14.25;1,625.00
Jun 1, 2025 3:00 PM;Jun 1, 2025 4:00 PM;3,813.50;1,721.25;1,311.50;12,646.25;26,705.00;82.75;-;2,831.00;344.00;2,051.50;32.25;1,616.25
Jun 1, 2025 4:00 PM;Jun 1, 2025 5:00 PM;3,793.50;1,778.50;1,560.75;14,774.00;20,799.00;92.00;-;2,894.75;370.25;2,068.50;3.00;1,599.25
Jun 1, 2025 5:00 PM;Jun 1, 2025 6:00 PM;3,793.25;1,836.75;2,054.25;17,200.25;16,009.00;92.00;-;2,889.25;381.25;2,121.25;62.75;1,589.75
Jun 1, 2025 6:00 PM;Jun 1, 2025 7:00 PM;3,842.75;1,931.50;3,807.50;16,781.25;10,290.00;92.00;-;3,445.50;416.50;2,413.25;143.25;1,685.00
Jun 1, 2025 7:00 PM;Jun 1, 2025 8:00 PM;3,873.75;1,999.50;3,829.50;14,976.50;5,268.75;92.00;-;4,669.75;419.00;3,311.50;731.50;1,715.50
Jun 1, 2025 8:00 PM;Jun 1, 2025 9:00 PM;3,908.25;2,018.25;3,314.50;12,257.00;1,592.50;92.00;-;5,701.00;427.75;4,443.00;2,392.75;1,732.50
Jun 1, 2025 9:00 PM;Jun 1, 2025 10:00 PM;3,944.75;2,023.50;3,351.00;10,235.75;76.75;92.00;-;6,144.50;444.25;4,709.75;3,749.50;1,751.50
Jun 1, 2025 10:00 PM;Jun 1, 2025 11:00 PM;3,945.25;2,027.75;3,687.50;8,888.00;4.00;92.00;-;6,130.00;433.25;4,676.00;3,220.00;1,736.75
Jun 1, 2025 11:00 PM;Jun 2, 2025 12:00 AM;3,938.00;2,012.25;4,426.75;8,032.25;0.00;92.00;-;5,756.50;426.75;4,454.75;1,203.25;1,723.25
Jun 2, 2025 12:00 AM;Jun 2, 2025 1:00 AM;3,912.25;1,961.50;4,508.25;6,935.25;0.00;92.00;-;6,048.75;417.75;4,372.25;573.00;1,758.25
Jun 2, 2025 1:00 AM;Jun 2, 2025 2:00 AM;3,917.25;1,996.00;4,979.75;6,350.75;0.00;92.00;-;6,453.75;404.00;4,311.75;422.75;1,721.50
Jun 2, 2025 2:00 AM;Jun 2, 2025 3:00 AM;3,927.00;1,991.75;5,261.75;6,055.25;0.00;92.00;-;6,553.00;399.75;4,294.25;100.25;1,718.25
Jun 2, 2025 3:00 AM;Jun 2, 2025 4:00 AM;3,912.50;2,033.00;5,348.25;6,178.25;0.00;92.00;-;7,031.75;404.50;4,036.00;263.25;1,726.75
Jun 2, 2025 4:00 AM;Jun 2, 2025 5:00 AM;3,925.75;2,053.75;4,775.25;6,789.50;4.50;92.00;-;7,528.75;400.75;4,291.50;727.50;1,740.25
Jun 2, 2025 5:00 AM;Jun 2, 2025 6:00 AM;3,907.75;2,031.50;4,139.75;7,845.50;471.50;92.00;-;7,813.00;443.50;4,640.25;1,307.50;1,707.75
Jun 2, 2025 6:00 AM;Jun 2, 2025 7:00 AM;3,914.00;2,264.25;3,203.25;7,594.50;3,194.25;92.00;-;7,984.50;558.50;5,041.50;4,250.25;1,721.75
